,orth,base,ctag,sentence
14528,.,.,interp,877
14529,"2,8","2,8",num:pl:acc:m3:rec,877
14530,",",",",interp,877
14531,co,co,subst:sg:nom:n,877
14532,ma,mieć,fin:sg:ter:imperf,877
14533,znaczenie,znaczenie,subst:sg:acc:n,877
14534,przy,przy,prep:loc,877
14535,budowaniu,budować,ger:sg:loc:n:imperf:aff,877
14536,ścian,ściana,subst:pl:gen:f,877
14537,zewnętrznych,zewnętrzny,adj:pl:gen:f:pos,877
14538,bądź,bądź,conj,877
14539,odgradzaniu,odgradzać,ger:sg:loc:n:imperf:aff,877
14540,pomieszczeń,pomieszczenie,subst:pl:gen:n,877
14541,mieszkalnych,mieszkalny,adj:pl:gen:n:pos,877
14542,",",",",interp,877
14543,od,od,prep:gen:nwok,877
14544,np,na_przykład,brev:pun,877
14545,.,.,interp,877
14546,nieogrzewanych,ogrzewać,ppas:pl:gen:m3:imperf:neg,877
14547,korytarzy,korytarz,subst:pl:gen:m3,877
14548,.,.,interp,877
14549,Przepuszczalność,przepuszczalność,subst:sg:nom:f,878
14550,światła,światło,subst:sg:gen:n,878
14551,w,w,prep:loc:nwok,878
14552,przypadku,przypadek,subst:sg:loc:m3,878
14553,zastosowania,zastosować,ger:sg:gen:n:perf:aff,878
14554,pustaków,pustak,subst:pl:gen:m3,878
14555,białych,biały,adj:pl:gen:m3:pos,878
14556,wynosi,wynosić,fin:sg:ter:imperf,878
14557,ponad,ponad,qub,878
14558,70,70,num:pl:acc:m3:rec,878
14559,proc,procent,brev:pun,878
14560,.,.,interp,878
14561,",",",",interp,878
14562,zaś,zaś,conj,878
14563,w,w,prep:loc:nwok,878
14564,przypadku,przypadek,subst:sg:loc:m3,878
14565,kolorowych,kolorowy,adj:pl:gen:m3:pos,878
14566,ok,około,brev:pun,878
14567,.,.,interp,878
14568,50,50,num:pl:gen:m3:rec,878
14569,proc,procent,brev:pun,878
14570,.,.,interp,878
14571,Ściany,ściana,subst:pl:nom:f,879
14572,wykonane,wykonać,ppas:pl:nom:f:perf:aff,879
14573,z,z,prep:gen:nwok,879
14574,pustaków,pustak,subst:pl:gen:m1,879
14575,zapewniają,zapewniać,fin:pl:ter:imperf,879
14576,izolację,izolacja,subst:sg:acc:f,879
14577,dźwiękową,dźwiękowy,adj:sg:acc:f:pos,879
14578,w,w,prep:loc:nwok,879
14579,granicach,granica,subst:pl:loc:f,879
14580,40,40,num:pl:gen:m3:congr,879
14581,dB,decybel,brev:pun,879
14582,.,.,interp,879
14583,Klienci,klient,subst:pl:nom:m1,880
14584,o,o,prep:loc,880
14585,specyficznych,specyficzny,adj:pl:loc:f:pos,880
14586,potrzebach,potrzeba,subst:pl:loc:f,880
14587,mogą,móc,fin:pl:ter:imperf,880
14588,nawet,nawet,qub,880
14589,kupić,kupić,inf:perf,880
14590,pustaki,pustak,subst:pl:acc:m3,880
14591,kuloodporne,kuloodporny,adj:pl:acc:m3:pos,880
14592,.,.,interp,880
14593,Luksfery,luksfer,subst:pl:nom:m3,881
14594,nieco,nieco,adv,881
14595,gorzej,źle,adv:com,881
14596,chronią,chronić,fin:pl:ter:imperf,881
14597,przed,przed,prep:inst:nwok,881
14598,hałasem,hałas,subst:sg:inst:m3,881
14599,i,i,conj,881
14600,zimnem,zimno,subst:sg:inst:n,881
14601,.,.,interp,881
14602,Stosowane,stosować,ppas:pl:nom:m3:imperf:aff,882
14603,są,być,fin:pl:ter:imperf,882
14604,zatem,zatem,conj,882
14605,głównie,głównie,adv:pos,882
14606,we,w,prep:loc:wok,882
14607,wnętrzach,wnętrze,subst:pl:loc:n,882
14608,",",",",interp,882
14609,a,a,conj,882
14610,dzięki,dzięki,prep:dat,882
14611,różnym,różny,adj:pl:dat:m3:pos,882
14612,wzorom,wzór,subst:pl:dat:m3,882
14613,i,i,conj,882
14614,wymiarom,wymiar,subst:pl:dat:m3,882
14615,dają,dawać,fin:pl:ter:imperf,882
14616,ogromne,ogromny,adj:pl:acc:f:pos,882
14617,możliwości,możliwość,subst:pl:acc:f,882
14618,aranżacyjne,aranżacyjny,adj:pl:acc:f:pos,882
14619,.,.,interp,882
14620,Wzory,wzór,subst:pl:nom:m3,883
14621,i,i,conj,883
14622,kolory,kolor,subst:pl:nom:m3,883
14623,Kultura,kultura,subst:sg:nom:f,884
14624,fanowska,fanowski,adj:sg:nom:f:pos,884
14625,zawsze,zawsze,adv,884
14626,była,być,praet:sg:f:imperf,884
14627,bardzo,bardzo,adv:pos,884
14628,twórcza,twórczy,adj:sg:nom:f:pos,884
14629,.,.,interp,884
14630,Amatorskie,amatorski,adj:pl:nom:n:pos,885
14631,opowiadania,opowiadanie,subst:pl:nom:n,885
14632,czy,czy,conj,885
14633,filmy,film,subst:pl:nom:m3,885
14634,nie,nie,qub,885
14635,są,być,fin:pl:ter:imperf,885
14636,wynalazkiem,wynalazek,subst:sg:inst:m3,885
14637,ostatnich,ostatni,adj:pl:gen:m3:pos,885
14638,lat,rok,subst:pl:gen:m3,885
14639,.,.,interp,885
14640,Jednak,jednak,conj,886
14641,do,do,prep:gen,886
14642,niedawna,niedawny,adjp,886
14643,dystrybucja,dystrybucja,subst:sg:nom:f,886
14644,wytworów,wytwór,subst:pl:gen:m3,886
14645,fanów,fan,subst:pl:gen:m1,886
14646,była,być,praet:sg:f:imperf,886
14647,ograniczona,ograniczony,adj:sg:nom:f:pos,886
14648,do,do,prep:gen,886
14649,kręgu,krąg,subst:sg:gen:m3,886
14650,znajomych,znajomy,subst:pl:gen:m1,886
14651,i,i,conj,886
14652,rodziny,rodzina,subst:sg:gen:f,886
14653,.,.,interp,886
14654,Za,za,prep:inst,887
14655,sprawą,sprawa,subst:sg:inst:f,887
14656,Internetu,Internet,subst:sg:gen:m3,887
14657,pojawiły,pojawić,praet:pl:f:perf,887
14658,się,się,qub,887
14659,możliwości,możliwość,subst:pl:nom:f,887
14660,niemal,niemal,qub,887
14661,darmowego,darmowy,adj:sg:gen:n:pos,887
14662,dotarcia,dotrzeć,ger:sg:gen:n:perf:aff,887
14663,do,do,prep:gen,887
14664,milionów,milion,subst:pl:gen:m3,887
14665,odbiorców,odbiorca,subst:pl:gen:m1,887
14666,.,.,interp,887
14667,A,a,conj,888
14668,jeśli,jeśli,comp,888
14669,amatorski,amatorski,adj:sg:nom:m3:pos,888
14670,produkt,produkt,subst:sg:nom:m3,888
14671,zdobędzie,zdobyć,fin:sg:ter:perf,888
14672,popularność,popularność,subst:sg:acc:f,888
14673,w,w,prep:loc:nwok,888
14674,Internecie,Internet,subst:sg:loc:m3,888
14675,",",",",interp,888
14676,zapewne,zapewne,qub,888
14677,zainteresują,zainteresować,fin:pl:ter:perf,888
14678,się,się,qub,888
14679,nim,on,ppron3:sg:inst:m3:ter:akc:npraep,888
14680,profesjonalne,profesjonalny,adj:pl:nom:f:pos,888
14681,firmy,firma,subst:pl:nom:f,888
14682,.,.,interp,888
14683,Choć,choć,comp,889
14684,liczba,liczba,subst:sg:nom:f,889
14685,twórców,twórca,subst:pl:gen:m1,889
14686,-,-,interp,889
14687,amatorów,amator,subst:pl:gen:m1,889
14688,jest,być,fin:sg:ter:imperf,889
14689,gigantyczna,gigantyczny,adj:sg:nom:f:pos,889
14690,i,i,conj,889
14691,szanse,szansa,subst:pl:nom:f,889
14692,sukcesu,sukces,subst:sg:gen:m3,889
14693,nikłe,nikły,adj:pl:nom:f:pos,889
14694,",",",",interp,889
14695,podobne,podobny,adj:pl:nom:f:pos,889
14696,historie,historia,subst:pl:nom:f,889
14697,pełnią,pełnić,fin:pl:ter:imperf,889
14698,dziś,dziś,adv,889
14699,funkcję,funkcja,subst:sg:acc:f,889
14700,mitu,mit,subst:sg:gen:m3,889
14701,"""","""",interp,889
14702,od,od,prep:gen:nwok,889
14703,pucybuta,pucybut,subst:sg:gen:m1,889
14704,do,do,prep:gen,889
14705,milionera,milioner,subst:sg:gen:m1,889
14706,"""","""",interp,889
14707,.,.,interp,889
14708,Nie,nie,qub,890
14709,można,można,pred,890
14710,więc,więc,conj,890
14711,dłużej,długo,adv:com,890
14712,utrzymać,utrzymać,inf:perf,890
14713,tezy,teza,subst:sg:gen:f,890
14714,",",",",interp,890
14715,że,że,comp,890
14716,dogłębna,dogłębny,adj:sg:nom:f:pos,890
14717,wiedza,wiedza,subst:sg:nom:f,890
14718,na,na,prep:acc,890
14719,temat,temat,subst:sg:acc:m3,890
14720,popkultury,popkultura,subst:sg:gen:f,890
14721,nie,nie,qub,890
14722,ma,mieć,fin:sg:ter:imperf,890
14723,takiej,taki,adj:sg:gen:f:pos,890
14724,wartości,wartość,subst:sg:gen:f,890
14725,ekonomicznej,ekonomiczny,adj:sg:gen:f:pos,890
14726,jak,jak,prep:nom,890
14727,wiedza,wiedza,subst:sg:nom:f,890
14728,o,o,prep:loc,890
14729,kulturze,kultura,subst:sg:loc:f,890
14730,wysokiej,wysoki,adj:sg:loc:f:pos,890
14731,.,.,interp,890
14732,O,o,prep:loc,891
14733,tym,to,subst:sg:loc:n,891
14734,",",",",interp,891
14735,że,że,comp,891
14736,egzystencja,egzystencja,subst:sg:nom:f,891
14737,bohaterów,bohater,subst:pl:gen:m1,891
14738,Smitha,Smith,subst:sg:gen:m1,891
14739,ma,mieć,fin:sg:ter:imperf,891
14740,komercyjny,komercyjny,adj:sg:acc:m3:pos,891
14741,potencjał,potencjał,subst:sg:acc:m3,891
14742,",",",",interp,891
14743,przekonał,przekonać,praet:sg:m3:perf,891
14744,już,już,qub,891
14745,jego,on,ppron3:sg:gen:m1:ter:akc:npraep,891
14746,wcześniejszy,wczesny,adj:sg:nom:m3:com,891
14747,film,film,subst:sg:nom:m3,891
14748,"""","""",interp,891
14749,Jay,Jay,subst:sg:nom:m1,891
14750,i,i,conj,891
14751,Cichy,Cichy,adj:sg:nom:m1:pos,891
14752,Bob,Bob,subst:sg:nom:m1,891
14753,kontratakują,kontratakować,fin:pl:ter:imperf,891
14754,"""","""",interp,891
14755,",",",",interp,891
14756,w,w,prep:loc:nwok,891
14757,którym,który,adj:sg:loc:m3:pos,891
14758,tytułowe,tytułowy,adj:pl:nom:f:pos,891
14759,postaci,postać,subst:pl:nom:f,891
14760,jadą,jechać,fin:pl:ter:imperf,891
14761,do,do,prep:gen,891
14762,Hollywood,Hollywood,subst:sg:gen:m3,891
14763,upomnieć,upomnieć,inf:perf,891
14764,się,się,qub,891
14765,o,o,prep:acc,891
14766,honorarium,honorarium,subst:sg:acc:n,891
14767,u,u,prep:gen,891
14768,producenta,producent,subst:sg:gen:m1,891
14769,filmu,film,subst:sg:gen:m3,891
14770,kopiującego,kopiować,pact:sg:gen:m3:imperf:aff,891
14771,ich,on,ppron3:pl:gen:m1:ter:akc:npraep,891
14772,przygody,przygoda,subst:pl:acc:f,891
14773,.,.,interp,891
14774,A,a,conj,892
14775,przecież,przecież,qub,892
14776,najsilniejsza,silny,adj:sg:nom:f:sup,892
14777,w,w,prep:loc:nwok,892
14778,parlamencie,parlament,subst:sg:loc:m3,892
14779,opozycja,opozycja,subst:sg:nom:f,892
14780,będzie,być,bedzie:sg:ter:imperf,892
14781,bez,bez,prep:gen:nwok,892
14782,przerwy,przerwa,subst:sg:gen:f,892
14783,mówiła,mówić,praet:sg:f:imperf,892
14784,",",",",interp,892
14785,jak,jak,adv:pos,892
14786,nowi,nowy,adj:pl:nom:m1:pos,892
14787,psują,psuć,fin:pl:ter:imperf,892
14788,to,to,subst:sg:acc:n,892
14789,",",",",interp,892
14790,co,co,subst:sg:acc:n,892
14791,PiS,PiS,subst:sg:nom:m3,892
14792,zrobił,zrobić,praet:sg:m3:perf,892
14793,fantastycznie,fantastycznie,adv:pos,892
14794,",",",",interp,892
14795,a,a,conj,892
14796,jeśli,jeśli,comp,892
14797,nie,nie,qub,892
14798,zrobił,zrobić,praet:sg:m3:perf,892
14799,",",",",interp,892
14800,to,to,conj,892
14801,dlatego,dlatego,adv,892
14802,",",",",interp,892
14803,że,że,comp,892
14804,nie,nie,qub,892
14805,zdążył,zdążyć,praet:sg:m3:perf,892
14806,",",",",interp,892
14807,i,i,conj,892
14808,teraz,teraz,adv,892
14809,jest,być,fin:sg:ter:imperf,892
14810,okazja,okazja,subst:sg:nom:f,892
14811,",",",",interp,892
14812,by,by,comp,892
14813,sprawy,sprawa,subst:pl:acc:f,892
14814,mógł,móc,praet:sg:m3:imperf:nagl,892
14815,dokończyć,dokończyć,inf:perf,892
14816,rząd,rząd,subst:sg:nom:m3,892
14817,Tuska,Tusk,subst:sg:gen:m1,892
14818,.,.,interp,892
14819,To,to,pred,893
14820,będzie,być,bedzie:sg:ter:imperf,893
14821,wykładnia,wykładnia,subst:sg:nom:f,893
14822,",",",",interp,893
14823,wedle,wedle,prep:gen,893
14824,której,który,adj:sg:gen:f:pos,893
14825,premier,premier,subst:sg:nom:m1,893
14826,będzie,być,bedzie:sg:ter:imperf,893
14827,rozliczany,rozliczać,ppas:sg:nom:m1:imperf:aff,893
14828,z,z,prep:gen:nwok,893
14829,tego,to,subst:sg:gen:n,893
14830,",",",",interp,893
14831,w,w,prep:loc:nwok,893
14832,jakim,jaki,adj:sg:loc:m3:pos,893
14833,zakresie,zakres,subst:sg:loc:m3,893
14834,realizuje,realizować,fin:sg:ter:imperf,893
14835,plan,plan,subst:sg:acc:m3,893
14836,PiS,PiS,subst:sg:gen:n,893
14837,.,.,interp,893
14838,By,by,comp,894
14839,uniknąć,uniknąć,inf:perf,894
14840,pułapki,pułapka,subst:sg:gen:f,894
14841,",",",",interp,894
14842,trzeba,trzeba,pred,894
14843,wyraźnie,wyraźnie,adv:pos,894
14844,określić,określić,inf:perf,894
14845,swoje,swój,adj:pl:acc:m3:pos,894
14846,parametry,parametr,subst:pl:acc:m3,894
14847,i,i,conj,894
14848,dobitnie,dobitnie,adv:pos,894
14849,powiedzieć,powiedzieć,inf:perf,894
14850,",",",",interp,894
14851,gdzie,gdzie,adv,894
14852,są,być,fin:pl:ter:imperf,894
14853,różnice,różnica,subst:pl:nom:f,894
14854,między,między,prep:inst,894
14855,PO,PO,subst:sg:inst:f,894
14856,i,i,conj,894
14857,PiS,PiS,subst:sg:inst:n,894
14858,i,i,conj,894
14859,na,na,prep:loc,894
14860,czym,co,subst:sg:loc:n,894
14861,polegają,polegać,fin:pl:ter:imperf,894
14862,odmienności,odmienność,subst:pl:nom:f,894
14863,.,.,interp,894
14864,Po,po,prep:loc,895
14865,tamtych,tamten,adj:pl:loc:m3:pos,895
14866,rządach,rząd,subst:pl:loc:m3,895
14867,nie,nie,qub,895
14868,można,można,pred,895
14869,tak,tak,adv:pos,895
14870,po,po,prep:acc,895
14871,prostu,prosty,adjp,895
14872,przystąpić,przystąpić,inf:perf,895
14873,do,do,prep:gen,895
14874,normalnego,normalny,adj:sg:gen:n:pos,895
14875,",",",",interp,895
14876,rutynowego,rutynowy,adj:sg:gen:n:pos,895
14877,rządzenia,rządzić,ger:sg:gen:n:imperf:aff,895
14878,.,.,interp,895
14879,Hasło,hasło,subst:sg:nom:n,896
14880,wyborcze,wyborczy,adj:sg:nom:n:pos,896
14881,Donalda,Donald,subst:sg:gen:m1,896
14882,Tuska,Tusk,subst:sg:gen:m1,896
14883,o,o,prep:loc,896
14884,powrocie,powrót,subst:sg:loc:m3,896
14885,do,do,prep:gen,896
14886,normalności,normalność,subst:sg:gen:f,896
14887,",",",",interp,896
14888,tak,tak,adv:pos,896
14889,dobrze,dobrze,adv:pos,896
14890,przyjęte,przyjąć,ppas:sg:nom:n:perf:aff,896
14891,przez,przez,prep:acc:nwok,896
14892,wyborców,wyborca,subst:pl:acc:m1,896
14893,",",",",interp,896
14894,teraz,teraz,adv,896
14895,powinno,powinien,winien:sg:n:imperf,896
14896,zostać,zostać,inf:perf,896
14897,przemienione,przemienić,ppas:sg:nom:n:perf:aff,896
14898,w,w,prep:acc:nwok,896
14899,program,program,subst:sg:acc:m3,896
14900,",",",",interp,896
14901,w,w,prep:acc:nwok,896
14902,zbiór,zbiór,subst:sg:acc:m3,896
14903,idei,idea,subst:pl:gen:f,896
14904,i,i,conj,896
14905,praktyk,praktyka,subst:pl:gen:f,896
14906,",",",",interp,896
14907,które,który,adj:pl:nom:f:pos,896
14908,będą,być,bedzie:pl:ter:imperf,896
14909,prawdziwym,prawdziwy,adj:sg:inst:m3:pos,896
14910,dorobkiem,dorobek,subst:sg:inst:m3,896
14911,nauk,nauka,subst:pl:gen:f,896
14912,(,(,interp,896
14913,nauczek,nauczka,subst:pl:gen:f,896
14914,),),interp,896
14915,powziętych,powziąć,ppas:pl:gen:f:perf:aff,896
14916,w,w,prep:loc:nwok,896
14917,ciągu,ciąg,subst:sg:loc:m3,896
14918,ostatnich,ostatni,adj:pl:gen:m3:pos,896
14919,dwóch,dwa,num:pl:gen:m3:congr,896
14920,lat,rok,subst:pl:gen:m3,896
14921,.,.,interp,896
14922,Boimy,bać,fin:pl:pri:imperf,897
14923,się,się,qub,897
14924,",",",",interp,897
14925,że,że,comp,897
14926,zaatakują,zaatakować,fin:pl:ter:perf,897
14927,nas,my,ppron12:pl:acc:m1:pri,897
14928,bakterie,bakteria,subst:pl:nom:f,897
14929,",",",",interp,897
14930,że,że,comp,897
14931,coś,coś,subst:sg:nom:n,897
14932,nam,my,ppron12:pl:dat:m1:pri,897
14933,spadnie,spaść,fin:sg:ter:perf,897
14934,na,na,prep:acc,897
14935,głowę,głowa,subst:sg:acc:f,897
14936,albo,albo,conj,897
14937,dostaniemy,dostać,fin:pl:pri:perf,897
14938,ataku,atak,subst:sg:gen:m3,897
14939,serca,serce,subst:sg:gen:n,897
14940,i,i,conj,897
14941,lekarze,lekarz,subst:pl:nom:m1,897
14942,nie,nie,qub,897
14943,zdążą,zdążyć,fin:pl:ter:perf,897
14944,.,.,interp,897
14945,Przeżywamy,przeżywać,fin:pl:pri:imperf,898
14946,wszechogarniający,wszechogarniający,adj:sg:acc:m3:pos,898
14947,lęk,lęk,subst:sg:acc:m3,898
14948,",",",",interp,898
14949,który,który,adj:sg:nom:m3:pos,898
14950,paraliżuje,paraliżować,fin:sg:ter:imperf,898
14951,życie,życie,subst:sg:acc:n,898
14952,.,.,interp,898
14953,Ale,ale,conj,899
14954,co,co,subst:sg:acc:n,899
14955,jest,być,fin:sg:ter:imperf,899
14956,warte,wart,adj:sg:nom:n:pos,899
14957,życie,życie,subst:sg:nom:n,899
14958,",",",",interp,899
14959,które,który,adj:sg:nom:n:pos,899
14960,ma,mieć,fin:sg:ter:imperf,899
14961,służyć,służyć,inf:imperf,899
14962,wyłącznie,wyłącznie,qub,899
14963,temu,to,subst:sg:dat:n,899
14964,",",",",interp,899
14965,żeby,żeby,comp,899
14966,przeżyć,przeżyć,inf:perf,899
14967,albo,albo,conj,899
14968,żeby,żeby,comp,899
14969,je,on,ppron3:pl:acc:n:ter:akc:npraep,899
14970,bez,bez,prep:gen:nwok,899
14971,umiaru,umiar,subst:sg:gen:m3,899
14972,przedłużać,przedłużać,inf:imperf,899
14973,.,.,interp,899
14974,I,i,conj,900
14975,tak,tak,adv:pos,900
14976,nie,nie,qub,900
14977,da,dać,fin:sg:ter:perf,900
14978,się,się,qub,900
14979,oszukać,oszukać,inf:perf,900
14980,śmierci,śmierć,subst:sg:gen:f,900
14981,-,-,interp,900
14982,to,ten,adj:sg:nom:n:pos,900
14983,ciało,ciało,subst:sg:nom:n,900
14984,w,w,prep:loc:nwok,900
14985,końcu,koniec,subst:sg:loc:m3,900
14986,umrze,umrzeć,fin:sg:ter:perf,900
14987,.,.,interp,900
14988,Nasze,nasz,adj:sg:nom:n:pos,901
14989,życie,życie,subst:sg:nom:n,901
14990,nie,nie,qub,901
14991,może,móc,fin:sg:ter:imperf,901
14992,się,się,qub,901
14993,sprowadzać,sprowadzać,inf:imperf,901
14994,do,do,prep:gen,901
14995,chronienia,chronić,ger:sg:gen:n:imperf:aff,901
14996,i,i,conj,901
14997,upiększania,upiększać,ger:sg:gen:n:imperf:aff,901
14998,ciała,ciało,subst:sg:gen:n,901
14999,",",",",interp,901
15000,żeby,żeby,comp,901
15001,się,się,qub,901
15002,nie,nie,qub,901
15003,uszkodziło,uszkodzić,praet:sg:n:perf,901
15004,",",",",interp,901
15005,nie,nie,qub,901
15006,naraziło,narazić,praet:sg:n:perf,901
15007,na,na,prep:acc,901
15008,żadne,żaden,adj:sg:acc:n:pos,901
15009,niebezpieczeństwo,niebezpieczeństwo,subst:sg:acc:n,901
15010,i,i,conj,901
15011,żeby,żeby,comp,901
15012,zawsze,zawsze,adv,901
15013,było,być,praet:sg:n:imperf,901
15014,mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,901
15015,miło,miło,adv:pos,901
15016,i,i,conj,901
15017,przyjemnie,przyjemnie,adv:pos,901
15018,",",",",interp,901
15019,i,i,conj,901
15020,żeby,żeby,comp,901
15021,robiło,robić,praet:sg:n:imperf,901
15022,wrażenie,wrażenie,subst:sg:acc:n,901
15023,na,na,prep:loc,901
15024,innych,inny,adj:pl:loc:m1:pos,901
15025,.,.,interp,901
15026,Jeśli,jeśli,comp,902
15027,tak,tak,adv:pos,902
15028,będziemy,być,bedzie:pl:pri:imperf,902
15029,żyć,żyć,inf:imperf,902
15030,",",",",interp,902
15031,to,to,conj,902
15032,ciało,ciało,subst:sg:nom:n,902
15033,zajmie,zająć,fin:sg:ter:perf,902
15034,miejsce,miejsce,subst:sg:acc:n,902
15035,Boga,bóg,subst:sg:gen:m1,902
15036,",",",",interp,902
15037,miejsce,miejsce,subst:sg:acc:n,902
15038,Ducha,duch,subst:sg:gen:m2,902
15039,.,.,interp,902
15040,Uważne,uważny,adj:sg:nom:n:pos,903
15041,",",",",interp,903
15042,odważne,odważny,adj:sg:nom:n:pos,903
15043,i,i,conj,903
15044,w,w,prep:loc:nwok,903
15045,pełni,pełnia,subst:sg:loc:f,903
15046,zaangażowane,zaangażować,ppas:sg:nom:n:perf:aff,903
15047,życie,życie,subst:sg:nom:n,903
15048,",",",",interp,903
15049,w,w,prep:loc:nwok,903
15050,którym,który,adj:sg:loc:n:pos,903
15051,w,w,prep:loc:nwok,903
15052,każdej,każdy,adj:sg:loc:f:pos,903
15053,chwili,chwila,subst:sg:loc:f,903
15054,umieramy,umierać,fin:pl:pri:imperf,903
15055,",",",",interp,903
15056,uwalnia,uwalniać,fin:sg:ter:imperf,903
15057,nas,my,ppron12:pl:acc:m1:pri,903
15058,od,od,prep:gen:nwok,903
15059,lęku,lęk,subst:sg:gen:m3,903
15060,przed,przed,prep:inst:nwok,903
15061,śmiercią,śmierć,subst:sg:inst:f,903
15062,.,.,interp,903
15063,Daje,dawać,fin:sg:ter:imperf,904
15064,nam,my,ppron12:pl:dat:m1:pri,904
15065,wolność,wolność,subst:sg:acc:f,904
15066,.,.,interp,904
15067,Zły,zły,adj:sg:nom:m1:pos,905
15068,",",",",interp,905
15069,że,że,comp,905
15070,dał,dać,praet:sg:m1:perf,905
15071,się,się,qub,905
15072,zaskoczyć,zaskoczyć,inf:perf,905
15073,gościowi,gość,subst:sg:dat:m1,905
15074,",",",",interp,905
15075,starał,starać,praet:sg:m1:imperf,905
15076,się,się,qub,905
15077,jak,jak,adv:pos,905
15078,najszybciej,szybko,adv:sup,905
15079,przejść,przejść,inf:perf,905
15080,do,do,prep:gen,905
15081,salonu,salon,subst:sg:gen:m3,905
15082,.,.,interp,905
15083,O,o,prep:loc,906
15084,tym,to,subst:sg:loc:n,906
15085,",",",",interp,906
15086,że,że,comp,906
15087,był,być,praet:sg:m3:imperf,906
15088,to,to,pred,906
15089,jeden,jeden,adj:sg:nom:m3:pos,906
15090,ze,z,prep:gen:wok,906
15091,środków,środek,subst:pl:gen:m3,906
15092,",",",",interp,906
15093,który,który,adj:sg:nom:m3:pos,906
15094,pomagał,pomagać,praet:sg:m3:imperf,906
15095,mu,on,ppron3:sg:dat:m1:ter:nakc:npraep,906
15096,wrócić,wrócić,inf:perf,906
15097,psychicznie,psychicznie,adv:pos,906
15098,między,między,prep:acc,906
15099,żywych,żywy,adj:pl:acc:m1:pos,906
15100,po,po,prep:loc,906
15101,wypadku,wypadek,subst:sg:loc:m3,906
15102,",",",",interp,906
15103,w,w,prep:loc:nwok,906
15104,którym,który,adj:sg:loc:m3:pos,906
15105,zginęła,zginąć,praet:sg:f:perf,906
15106,żona,żona,subst:sg:nom:f,906
15107,",",",",interp,906
15108,a,a,conj,906
15109,jego,on,ppron3:sg:acc:m1:ter:akc:npraep,906
15110,prawie,prawie,qub,906
15111,sparaliżowało,sparaliżować,praet:sg:n:perf,906
15112,-,-,interp,906
15113,już,już,qub,906
15114,nie,nie,qub,906
15115,wspomniał,wspomnieć,praet:sg:m1:perf,906
15116,.,.,interp,906
15117,Wcisnął,wcisnąć,praet:sg:m1:perf,907
15118,się,się,qub,907
15119,w,w,prep:acc:nwok,907
15120,specjalny,specjalny,adj:sg:acc:m3:pos,907
15121,fotel,fotel,subst:sg:acc:m3,907
15122,i,i,conj,907
15123,ściągnął,ściągnąć,praet:sg:m1:perf,907
15124,górę,góra,subst:sg:acc:f,907
15125,od,od,prep:gen:nwok,907
15126,piżamy,piżama,subst:sg:gen:f,907
15127,.,.,interp,907
15128,Lekarz,lekarz,subst:sg:nom:m1,908
15129,osłuchał,osłuchać,praet:sg:m1:perf,908
15130,płuca,płuco,subst:sg:gen:n,908
15131,i,i,conj,908
15132,serce,serce,subst:sg:acc:n,908
15133,.,.,interp,908
15134,Zmierzył,zmierzyć,praet:sg:m1:perf,909
15135,ciśnienie,ciśnienie,subst:sg:acc:n,909
15136,.,.,interp,909
15137,-,-,interp,910
15138,Pan,pan,subst:sg:nom:m1,910
15139,ćwiczy,ćwiczyć,fin:sg:ter:imperf,910
15140,.,.,interp,910
15141,Jestem,być,fin:sg:pri:imperf,911
15142,pod,pod,prep:inst:nwok,911
15143,wrażeniem,wrażenie,subst:sg:inst:n,911
15144,-,-,interp,911
15145,pokiwał,pokiwać,praet:sg:m1:perf,911
15146,ze,z,prep:inst:wok,911
15147,zdumieniem,zdumienie,subst:sg:inst:n,911
15148,głową,głowa,subst:sg:inst:f,911
15149,.,.,interp,911
15150,-,-,interp,912
15151,Gdyby,gdyby,comp,912
15152,wszyscy,wszystek,adj:pl:nom:m1:pos,912
15153,chorzy,chory,subst:pl:nom:m1,912
15154,mieli,mieć,praet:pl:m1:imperf,912
15155,takie,taki,adj:pl:acc:f:pos,912
15156,możliwości,możliwość,subst:pl:acc:f,912
15157,.,.,interp,912
15158,.,.,interp,912
15159,.,.,interp,912
15160,-,-,interp,913
15161,Taaak,tak,qub,913
15162,-,-,interp,913
15163,mruknął,mruknąć,praet:sg:m1:perf,913
15164,tylko,tylko,qub,913
15165,w,w,prep:loc:nwok,913
15166,odpowiedzi,odpowiedź,subst:sg:loc:f,913
15167,-,-,interp,913
15168,poza,poza,prep:inst,913
15169,tym,to,subst:sg:inst:n,913
15170,zagląda,zaglądać,fin:sg:ter:imperf,913
15171,do,do,prep:gen,913
15172,mnie,ja,ppron12:sg:gen:m1:pri:akc,913
15173,masażysta,masażysta,subst:sg:nom:m1,913
15174,-,-,interp,913
15175,cztery,cztery,num:pl:acc:m3:congr,913
15176,razy,raz,subst:pl:acc:m3,913
15177,w,w,prep:loc:nwok,913
15178,tygodniu,tydzień,subst:sg:loc:m3,913
15179,.,.,interp,913
15180,W,w,prep:loc:nwok,914
15181,płatnym,płatny,adj:sg:loc:m3:pos,914
15182,",",",",interp,914
15183,cotygodniowym,cotygodniowy,adj:sg:loc:m3:pos,914
15184,felietonie,felieton,subst:sg:loc:m3,914
15185,publikowanym,publikować,ppas:sg:loc:m3:imperf:aff,914
15186,w,w,prep:loc:nwok,914
15187,lokalnym,lokalny,adj:sg:loc:m3:pos,914
