,base,parts_of_speech,n_occurrences
48004,Skomlinie,?,2
48005,Gaszyn,?,1
48006,Najświętsza_Maryja_Panna,?,3
48007,Naramicach.jpg,rzecz,1
48008,Popowicach.jpg,rzecz,1
48009,Skomlin,?,1
48010,front.JPG,rzecz,1
48011,Wiktorowie.jpg,rzecz,1
48012,Shahab,?,8
48013,MRBM,?,1
48014,2100,rzecz,6
48015,Rodong,?,1
48016,Taep,?,1
48017,Ormuz,?,1
48018,bulwarowy,przym,2
48019,pocieszenie,rzecz,1
48020,Pekao,rzecz,1
48021,deptak,rzecz,2
48022,jednojezdniowy,przym,1
48023,czteroskrzydłowy,rzecz,1
48024,pseudorenesansowy,przym,1
48025,stylowy,przym,3
48026,Bobr,?,2
48027,Żaclerza,?,1
48028,Trutnov,?,2
48029,Niestum,?,2
48030,Rushkoff,?,1
48031,równologłe,?,1
48032,manipulacja,rzecz,4
48033,Toma,rzecz,3
48034,Akeda,?,1
48035,Akedah,?,1
48036,eden,rzecz,8
48037,exodus,rzecz,1
48038,Gastropatia,?,1
48039,hypertensive,?,1
48040,gastropathy,?,1
48041,PHG,?,1
48042,zastój,rzecz,2
48043,śluzówka,rzecz,2
48044,antralne,?,1
48045,GAVE,?,1
48046,Merck,?,1
48047,87944,rzecz,1
48048,Portland,rzecz,4
48049,Bachman,?,9
48050,Swithen,?,1
48051,poczytny,przym,2
48052,lśnienie,rzecz,5
48053,smętarz,rzecz,3
48054,zwierzak,rzecz,5
48055,podpalaczka,rzecz,3
48056,bastion,rzecz,9
48057,stoker,rzecz,1
48058,DCAL,?,1
48059,Owen,rzecz,8
48060,Nellie,?,1
48061,Pillsbury,?,1
48062,adoptować,czas,3
48063,Durham,?,2
48064,Stratford,?,1
48065,nieszczęśliwy,przym,1
48066,Elementary,?,2
48067,Lisbon,?,1
48068,Falls,?,9
48069,nastoletni,przym,7
48070,Garret,?,1
48071,półświat,rzecz,1
48072,niskonakładowy,przym,1
48073,gazetka,rzecz,3
48074,anglistyka,rzecz,3
48075,Orono,?,1
48076,campus,rzecz,1
48077,Garbage,?,1
48078,licealny,przym,1
48079,Tabithę,?,1
48080,Spruce,?,1
48081,Naomi,?,3
48082,Phillipa,?,1
48083,pralnia,rzecz,2
48084,Hampden,?,3
48085,Carrie,?,12
48086,przeziębić,czas,1
48087,Tabitha,?,1
48088,żartować,czas,1
48089,wymyśleć,czas,1
48090,przerodzić,czas,2
48091,paranormalny,przym,3
48092,maszynopis,rzecz,2
48093,Emrine,?,1
48094,nieźle,przys,1
48095,Bangor,?,4
48096,Sarasocie,?,1
48097,antytrynitariusz,rzecz,1
48098,Plantation,?,1
48099,Sox,?,3
48100,Yorker,?,1
48101,Tabithy,?,1
48102,Mansfield,?,1
48103,Pitch,?,2
48104,filantropijny,przym,1
48105,YWCA,rzecz,1
48106,naprzód,przys,5
48107,spacerować,czas,2
48108,Lovell,?,1
48109,zboczyć,czas,2
48110,rottweiler,rzecz,1
48111,brawurowo,przys,1
48112,bezsprzeczny,przym,2
48113,cumberland,rzecz,1
48114,Bridgton,?,1
48115,Lewiston,?,1
48116,połamany,przym,2
48117,upatrywać,czas,2
48118,Misery,?,4
48119,Christine,?,6
48120,boleć,czas,1
48121,feralny,przym,1
48122,złomowisko,rzecz,1
48123,ochota,rzecz,4
48124,Chambers,?,2
48125,potrącenie,rzecz,1
48126,Deschain,?,1
48127,Bryana,?,1
48128,Marvel,?,19
48129,Deschaina,?,1
48130,Furth,?,1
48131,Jae,?,1
48132,Fishbowl,?,1
48133,Mahera,?,1
48134,autograf,rzecz,1
48135,ilustrator,rzecz,2
48136,Joblo.com,rzecz,1
48137,Abramsem,?,1
48138,Mellencampem,?,1
48139,Darkland,?,1
48140,Rage,?,4
48141,barta,rzecz,4
48142,Dawesa,?,2
48143,Roadwork,?,2
48144,Thinner,?,3
48145,Westlake'a,?,1
48146,Stark,?,9
48147,Overdrive,?,2
48148,ujawnienie,rzecz,10
48149,desperacja,rzecz,4
48150,Regulatorzy,?,2
48151,niewtajemniczony,rzecz,1
48152,Bachmana,?,1
48153,wykiełkować,czas,1
48154,skamieniałość,rzecz,1
48155,wnikliwość,rzecz,1
48156,introspekcja,rzecz,1
48157,rasizm,rzecz,1
48158,uprzyjemniać,czas,1
48159,czek,rzecz,6
48160,spieniężyć,czas,1
48161,Waterman,?,1
48162,stand,rzecz,18
48163,Firestarter,?,2
48164,Cujo,?,3
48165,Tower,?,21
48166,wilkołak,rzecz,3
48167,Werewolf,?,1
48168,Sematary,?,2
48169,Cmętarz,?,1
48170,zwieżąt,?,1
48171,Talisman,?,4
48172,Straubem,?,2
48173,Stukostrachy,?,2
48174,Tommyknockers,?,2
48175,Waste,?,1
48176,Needful,?,2
48177,Things,?,5
48178,Gerald,rzecz,11
48179,Claiborne,?,3
48180,Insomnia,?,1
48181,Madder,?,1
48182,Desperation,?,2
48183,Bag,?,2
48184,Loved,?,2
48185,Dreamcatcher,?,2
48186,Wolves,?,1
48187,Calla,?,3
48188,Susannah,?,1
48189,Lisey,?,2
48190,Dome,?,2
48191,dziurka,rzecz,1
48192,Joyland,?,1
48193,przebudzenie,rzecz,8
48194,Revival,?,1
48195,shift,rzecz,2
48196,Seasons,?,1
48197,Crew,?,3
48198,Dreamscapes,?,2
48199,Atlantydów,?,2
48200,Everything,?,1
48201,Eventual,?,1
48202,Sunset,?,3
48203,bezgwiezdny,przym,1
48204,volume,?,2
48205,Chelseyem,?,1
48206,pony,rzecz,1
48207,Dolan,?,3
48208,Umney,?,1
48209,Macabre,?,1
48210,memoir,?,1
48211,Faithful,?,1
48212,Diehard,?,1
48213,Fans,?,1
48214,Season,?,5
48215,Treachery,?,2
48216,Gilead,?,1
48217,Jericho,?,5
48218,rewolwerowiec,rzecz,1
48219,Journey,?,1
48220,Begins,?,1
48221,Sisters,?,1
48222,Eluria,?,1
48223,Tull,?,1
48224,Sheemie's,?,1
48225,Shots,?,4
48226,Tripps,?,1
48227,Survivors,?,1
48228,Hardcases,?,1
48229,makabryczny,przym,2
48230,Creepshow,?,4
48231,Regulators,?,1
48232,Lonesome,?,1
48233,Jordy,?,1
48234,Verrill,?,1
48235,Something,?,2
48236,Crate,?,1
48237,They,?,6
48238,Creeping,?,1
48239,Boogeyman,?,2
48240,Disciples,?,2
48241,Darabonta,?,1
48242,Corn,?,2
48243,Quitters,?,1
48244,Ledge,?,1
48245,Nightshift,?,2
48246,Processor,?,6
48247,Darkside,?,3
48248,Gramma,?,1
48249,Maximum,?,2
48250,stań,rzecz,1
48251,head,?,1
48252,Hitchhiker,?,1
48253,Rung,?,1
48254,Sorry,?,1
48255,cmentarny,przym,4
48256,szychta,rzecz,1
48257,Graveyard,?,11
48258,Moving,?,2
48259,Finger,?,2
48260,autokar,rzecz,1
48261,Sometimes,?,1
48262,kosiarz,rzecz,2
48263,Lawnmower,?,1
48264,Sleepwalkers,?,1
48265,trzygodzinny,przym,2
48266,Shawshank,?,3
48267,Redemption,?,2
48268,Langoliery,?,1
48269,pożeracz,rzecz,1
48270,Langoliers,?,1
48271,maglownica,rzecz,1
48272,Mangler,?,1
48273,Waiter,?,1
48274,Outer,?,2
48275,Limits,?,1
48276,Revelations,?,1
48277,Paulson,?,1
48278,Flier,?,1
48279,Quicksilver,?,1
48280,Chattery,?,1
48281,Chinga,?,1
48282,szatan,rzecz,3
48283,Apt,?,4
48284,pupil,rzecz,2
48285,Llamadas,?,1
48286,Paranoid,?,1
48287,Strawberry,?,1
48288,Rainy,?,1
48289,Rimbauer,?,1
48290,autopies,rzecz,1
48291,Tygers,?,1
48292,Luckey,?,1
48293,Codes,?,1
48294,Highways,?,1
48295,Carried,?,1
48296,stories,?,1
48297,Mist,?,1
48298,dolać,czas,1
48299,bones,?,1
48300,Himmel,?,2
48301,Seifen,?,1
48302,potoczek,rzecz,2
48303,wachlarzowato,przys,1
48304,Traveller's,?,1
48305,Lewenstern,?,2
48306,Ołtarzewie,?,1
48307,ekstern,rzecz,1
48308,Ciechomski,rzecz,1
48309,przytułek,rzecz,1
48310,Kanonji,?,1
48311,smolny,przym,3
48312,demilitaryzacja,rzecz,3
48313,Zembrzuski,rzecz,1
48314,świętej_pamięci,?,1
48315,Eugenjusz,?,1
48316,Stout,?,5
48317,Todhunter,?,2
48318,monstrualnie,przys,1
48319,Noblesville,?,1
48320,Wallace'a,?,1
48321,Stouta,?,2
48322,Lucetty,?,1
48323,uzdolnienie,rzecz,2
48324,arytmetyka,rzecz,1
48325,Fer,?,2
48326,Frightened,?,1
48327,Rubber,?,1
48328,Too,?,10
48329,Cooks,?,1
48330,There's,?,1
48331,Orchids,?,1
48332,Quite,?,1
48333,Villain,?,1
48334,Deaths,?,1
48335,Than,?,4
48336,Triplicate,?,1
48337,Confession,?,1
48338,Families,?,2
48339,Even,?,1
48340,Curtains,?,1
48341,storczyk,rzecz,1
48342,Jeopardy,?,1
48343,Prisoner's,?,1
48344,Spiders,?,1
48345,Witnesses,?,1
48346,Chair,?,1
48347,Ever,?,1
48348,Slept,?,1
48349,Champagne,?,1
48350,Yourself,?,1
48351,układanka,rzecz,2
48352,Wolfe's,?,1
48353,Clients,?,1
48354,Deduction,?,1
48355,Homicide,?,1
48356,Blunt,?,1
48357,Doorbell,?,1
48358,Doxy,?,1
48359,głuszcowy,przym,1
48360,Dude,?,1
48361,Please,?,1
48362,Guilt,?,2
48363,Juros,?,1
48364,Krasiejowie,?,1
48365,inwalidztwo,rzecz,3
48366,reelekcja,rzecz,1
48367,ZP,?,1
48368,Eufemiusz,?,1
48369,polecić,czas,6
48370,Piltza,?,1
48371,Dmochowski,rzecz,2
48372,neurofizjologia,rzecz,2
48373,Czystem,?,1
48374,Flataua,?,1
48375,sienny,przym,3
48376,Svenska,?,1
48377,Institutet,?,1
48378,Olivecrony,?,1
48379,PTN,?,2
48380,neuropatologia,rzecz,1
48381,lubiński,przym,2
48382,kazuistyczny,przym,1
48383,szpara,rzecz,2
48384,powiekowy,przym,2
48385,dźwigacz,rzecz,2
48386,karkowo,?,1
48387,paluchowy,?,1
48388,podeszwowy,przym,3
48389,toniczny,przym,1
48390,przestankowy,przym,1
48391,miastenia,rzecz,3
48392,ischemiczna,?,1
48393,retrakcja,rzecz,1
48394,międzyjądrowy,przym,1
48395,nozologiczne,?,1
48396,livedo,?,1
48397,racemosa,?,2
48398,gośćcowy,przym,3
48399,przybliżać,czas,4
48400,Flatau,?,1
48401,Simchowicz,?,1
48402,Goldflam,?,1
48403,rwa,rzecz,1
48404,kulszowy,przym,1
48405,151,rzecz,2
48406,Hausmanowa,?,1
48407,Neurologische,?,2
48408,Syndrome,?,2
48409,rheumatischen,?,1
48410,Erkrankungen,?,1
48411,Gesundheit,?,1
48412,czesk,?,1
48413,Neurologické,?,1
48414,revmatickych,?,1
48415,chorob,?,1
48416,kolagenos,?,1
48417,Stát,?,1
48418,Zdrav,?,1
48419,Nakl,?,1
48420,Musiał,rzecz,3
48421,nieprzytomność,rzecz,1
48422,śpiączkowy,przym,1
48423,462,rzecz,3
48424,nerwoból,rzecz,2
48425,popr,?,3
48426,uzupeł,?,4
48427,535,rzecz,3
48428,Jakimowicza,?,1
48429,pląsawica,rzecz,2
48430,Riketsjozy,?,1
48431,zimnica,rzecz,1
48432,Trypanosomiazy,?,1
48433,włośnica,rzecz,1
48434,toksoplazmoza,rzecz,1
48435,czaszkowy,przym,1
48436,431,rzecz,2
48437,inneren,?,1
48438,Krankheiten,?,1
48439,Schattauer,?,1
48440,441,rzecz,3
48441,Neurologiczeskie,?,1
48442,klinike,?,1
48443,wnutriennych,?,1
48444,boleznej,?,1
48445,ukladu,?,1
48446,302,rzecz,3
48447,psychoneurologiczny,przym,1
48448,Witczak,rzecz,1
48449,837525,rzecz,1
48450,fot,rzecz,1
48451,portet,?,1
48452,Bunzel,?,1
48453,Pileggi,?,2
48454,ferajna,rzecz,5
48455,Wiseguy,?,2
48456,Casino,?,4
48457,zekranizować,czas,3
48458,scenariopisarstwo,rzecz,1
48459,producencki,przym,3
48460,Ephron,?,1
48461,Aramis,?,1
48462,Goodfellas,?,1
48463,Loyalty,?,2
48464,Mob,?,2
48465,współpomysłodawca,rzecz,2
48466,Dworzak,rzecz,3
48467,Makarewicza,?,2
48468,Bykownia,rzecz,1
48469,redzik,rzecz,2
48470,Skrętowiczowi,?,1
48471,Nowikowskiego,?,1
48472,Złocieńcu,?,2
48473,bukowy,przym,1
48474,Kańsko,?,1
48475,drawski,przym,1
48476,krajobrazowy,przym,3
48477,Złocieńca,?,1
48478,architektoniczno,?,1
48479,urbanistyczny,przym,4
48480,naturalistyczny,przym,1
48481,wieloprofilowy,przym,1
48482,Gańko,?,1
48483,EELS,?,4
48484,Electron,?,3
48485,Loss,?,3
48486,Spectroscopy,?,1
48487,niesprężyście,przys,2
48488,sektorowy,przym,1
48489,skaningowego,?,2
48490,scyntylatorach,?,1
48491,niesprężysty,przym,3
48492,kwintesencja,rzecz,3
48493,walencyjny,przym,8
48494,wzbudzenie,rzecz,11
48495,fonon,rzecz,3
48496,Czerenkowa,?,2
48497,E0,?,1
48498,powierzchniowo,przys,1
48499,keV,?,11
48500,sprężyście,przys,3
48501,niedoskonałość,rzecz,3
48502,połówkowy,przym,1
48503,tema,rzecz,3
48504,rozrzut,rzecz,2
48505,zdelokalizowane,?,1
48506,oscylacja,rzecz,3
48507,plazmonów,?,2
48508,zdelokalizowanych,?,1
48509,niezajęty,przym,2
48510,ELNES,?,3
48511,Structure,?,2
48512,EXELFS,?,1
48513,extender,rzecz,1
48514,oscylacyjny,przym,1
48515,koordynacyjny,przym,1
48516,EFTEM,?,1
48517,Filtered,?,1
48518,Transmission,?,1
48519,Microscopy,?,1
48520,dyfrakcyjny,przym,5
48521,przefiltrować,czas,1
48522,STEM,?,1
48523,subnanometrowych,?,1
48524,Kelsall,?,1
48525,Hamley,?,1
48526,Geoghegan,?,1
48527,nanotechnologia,rzecz,2
48528,15537,rzecz,1
48529,Teodino,?,2
48530,benedyktyński,przym,1
48531,Scarpa,?,1
48532,1167,rzecz,1
48533,Arrone,?,1
48534,subdiakon,rzecz,1
48535,kuria,rzecz,3
48536,1161,rzecz,1
48537,1162,rzecz,1
48538,kamerling,?,1
48539,Conti,?,1
48540,Anagni,?,1
48541,legacja,rzecz,1
48542,1165,rzecz,1
48543,diakon,rzecz,1
48544,Portico,?,1
48545,Vitale,?,2
48546,1171,rzecz,1
48547,1173,rzecz,1
48548,Morra,?,1
48549,legat,rzecz,2
48550,rozgrzeszenie,rzecz,2
48551,Becketa,?,1
48552,Barbarossą,?,1
48553,laterański,przym,2
48554,1179,rzecz,1
48555,Rufin,rzecz,1
48556,1181,rzecz,1
48557,Whispered,?,1
48558,Hüllena,?,1
48559,Daedalic,?,1
48560,komputerowo,przys,2
48561,acetanilid,rzecz,4
48562,antyfebryna,?,1
48563,anilina,rzecz,4
48564,przeciwgorączkowy,przym,1
48565,acetylowanie,rzecz,1
48566,bezwodnik,rzecz,1
48567,octowy,przym,3
48568,octan,rzecz,1
48569,homogennym,?,1
48570,wytrącać,czas,1
48571,GLAST,?,3
48572,ray,?,8
48573,Area,?,3
48574,Telescope,?,5
48575,GST,?,1
48576,GMT,?,2
48577,foton,rzecz,10
48578,GeV,?,2
48579,egreta,rzecz,1
48580,GBM,?,1
48581,Burst,?,1
48582,BATSE,?,1
48583,jedenastomiesięczny,przym,1
48584,1451,rzecz,1
48585,bura,rzecz,1
48586,Active,?,2
48587,Nuclei,?,1
48588,pulsar,rzecz,3
48589,PulSaRs,?,1
48590,mgławica,rzecz,1
48591,pulsarowego,?,1
48592,Nebulae,?,5
48593,supernowa,rzecz,3
48594,SuperNovae,?,1
48595,Remnants,?,2
48596,mass,?,1
48597,Binaries,?,1
48598,mikrokwazar,rzecz,1
48599,Micro,?,2
48600,Quasi,?,1
48601,stellar,?,1
48602,Objects,?,1
48603,Barotse,?,4
48604,Floodplain,?,2
48605,Zambezi,?,4
48606,Bulozi,?,1
48607,Lyondo,?,1
48608,zalewowy,przym,11
48609,elewacja,rzecz,12
48610,1218,rzecz,4
48611,pochylać,czas,1
48612,Kalahari,rzecz,4
48613,tama,rzecz,3
48614,Ngonye,?,2
48615,wylewać,czas,2
48616,Kabompo,?,1
48617,Lungwebungu,?,1
48618,Senangi,?,1
48619,Mongu,?,1
48620,rozlewisko,rzecz,5
48621,Lueny,?,1
48622,Bangweulu,?,1
48623,okresowość,rzecz,3
48624,maksimum,?,3
48625,537,rzecz,3
48626,żyzny,przym,14
48627,muł,rzecz,4
48628,humus,rzecz,1
48629,twardnieć,czas,2
48630,wysuszać,czas,1
48631,wyżynny,przym,2
48632,nizinny,przym,3
48633,Brachystegia,?,2
48634,Julbernadia,?,2
48635,Pterocarpus,?,1
48636,angolensis,?,1
48637,Guibourtia,?,1
48638,coleosperma,?,1
48639,Afzelia,?,1
48640,quanzensis,?,1
48641,Baikiaea,?,1
48642,plurijuga,?,1
48643,paniculata,?,2
48644,Syzygium,?,1
48645,Cynodon,?,1
48646,dactylon,?,1
48647,Eragrostis,?,2
48648,Hacchypogon,?,1
48649,rzeczny,przym,11
48650,dambos,?,1
48651,Hyparrhenia,?,1
48652,Trichopteryx,?,1
48653,Loudetia,?,2
48654,Hyperthelia,?,1
48655,ciborowaty,przym,1
48656,Aristida,?,1
48657,bioróżnorodność,rzecz,3
48658,faunistyczny,przym,2
48659,kob,rzecz,2
48660,liczi,rzecz,1
48661,sitatungi,?,1
48662,impala,rzecz,1
48663,nilowy,przym,1
48664,ptactwo,rzecz,5
48665,złotawy,przym,1
48666,marabut,rzecz,1
48667,pelikan,rzecz,2
48668,czcić,czas,5
48669,migrować,czas,2
48670,produktywny,przym,1
48671,Lozi,?,3
48672,łowić,czas,4
48673,więcierz,rzecz,1
48674,dzida,rzecz,1
48675,skrzelowy,przym,1
48676,Tarło,rzecz,1
48677,ikra,rzecz,1
48678,batat,rzecz,9
48679,chuda,rzecz,1
48680,tarło,rzecz,1
48681,determinować,czas,1
48682,umiejętny,przym,2
48683,wioślarz,rzecz,2
48684,parowiec,rzecz,5
48685,bocznokołowy,przym,1
48686,CSS,?,3
48687,Georgia,rzecz,5
48688,huragan,rzecz,5
48689,Odyssey,?,5
48690,komercyjnie,przys,3
48691,Hawru,?,1
48692,Veracruz,?,2
48693,skonfederowany,przym,2
48694,łamacz,rzecz,1
48695,Farraguta,?,1
48696,konfederat,rzecz,1
48697,konfederata,rzecz,1
48698,taranowiec,?,1
48699,przeciekać,czas,1
48700,naprędce,przys,1
48701,tratwa,rzecz,1
48702,Horacy,rzecz,2
48703,Beals,?,1
48704,Vesilind,?,1
48705,Priit,?,1
48706,Remarkable,?,1
48707,Shipwreck,?,2
48708,933034,rzecz,1
48709,Riley,?,7
48710,Finn,?,4
48711,Sunnydale,?,1
48712,Maggie,?,2
48713,Walsh,?,1
48714,Blucasa,?,1
48715,Forresta,?,1
48716,Gates,rzecz,2
48717,Rileya,?,2
48718,dezerterować,czas,1
48719,Buffy,?,7
48720,zdyskredytować,czas,2
48721,zakompleksić,czas,1
48722,demaskować,czas,1
48723,Spike,?,3
48724,siłe,?,1
48725,Summers,?,2
48726,przedawniony,przym,1
48727,hutnictwo,rzecz,4
48728,Peitz,?,12
48729,Eisenhütten,?,1
48730,Fischereimuseum,?,1
48731,dolnołuż,?,3
48732,Picańska,?,1
48733,zelezarnja,?,1
48734,Picnjo,?,1
48735,Łużyce,rzecz,1
48736,margrabia,rzecz,3
48737,Küstrin,?,1
48738,eksponować,czas,5
48739,odlewnia,rzecz,3
48740,wiązarowy,przym,1
48741,dachowy,przym,2
48742,dyl,rzecz,1
48743,rybny,przym,3
48744,wędkarstwo,rzecz,1
48745,Schäperclausa,?,1
48746,rowerzysta,rzecz,1
48747,weekendowy,przym,1
48748,przechadzka,rzecz,1
48749,festyn,rzecz,1
48750,wędkować,czas,1
48751,spływ,rzecz,4
48752,Jänschwalde,?,1
48753,Janšojce,?,1
48754,Chociebużem,?,1
48755,Lieberose,?,1
48756,Goyatz,?,1
48757,Guben,?,1
48758,ogórkowy,przym,1
48759,Dirk,?,3
48760,Redies,?,1
48761,Picański,?,1
48762,Museenland,?,1
48763,dias,rzecz,1
48764,NL,?,1
48765,Reiner,?,1
48766,Storbeck,?,1
48767,Förderverein,?,1
48768,Hüttenwerk,?,1
48769,folder,rzecz,2
48770,http://www.peitz.de/p/d1.asp?artikel_id=2790,rzecz,1
48771,http://www.peitzer-huettenwerk.de/index.php?id=1,rzecz,1
48772,symulacja,rzecz,24
48773,Lozanna,rzecz,3
48774,Markram,?,2
48775,zaśrodkowy,przym,1
48776,mm3,?,1
48777,synaptyczny,przym,3
48778,synchroniczny,przym,2
48779,petabajtów,?,1
48780,madrycki,przym,1
48781,Magerit,?,1
48782,konektom,?,1
48783,TED,?,1
48784,Glagow,?,1
48785,rangers,rzecz,3
48786,Ayr,?,1
48787,Scottish,?,2
48788,Clyde,?,1
48789,Tatsuya,?,1
48790,Egawa,?,1
48791,Arrest,?,2
48792,Goddess,?,5
48793,Ah,?,2
48794,éX,?,1
48795,driver,rzecz,9
48796,Phantasia,?,1
48797,Gungrave,?,1
48798,Abyss,?,1
48799,dwujęzyczny,przym,3
48800,Ireland,?,1
48801,Goethe,rzecz,5
48802,proze,?,1
48803,mistyczny,przym,3
48804,Lichtungen,?,1
48805,Purnev,?,1
48806,Hessischer,?,1
48807,Literaturbote,?,1
48808,entwürfe,?,1
48809,KGB,rzecz,2
48810,außer,?,1
48811,poród,rzecz,7
48812,stymulator,rzecz,1
48813,ironiczny,przym,3
48814,rozdwojenie,rzecz,1
48815,musieniem,?,1
48816,speeddating,?,1
48817,Spacerace,?,1
48818,kształtujący,przym,5
48819,Duktus,?,1
48820,Operandi,?,1
48821,ATHENA,?,1
48822,Meinwahnstraße,?,1
48823,fhl,?,2
48824,Gedichte,?,1
48825,Benedikt,?,2
48826,Herrler,?,1
48827,Kasimir,?,1
48828,Monarda,?,1
48829,Dichtungsring,?,1
48830,Translation,?,1
48831,Publisher's,?,2
48832,Website,?,2
48833,Release,?,1
48834,Campbell's,?,1
48835,poems,?,2
48836,dukuts,?,1
48837,operandi,?,1
48838,wieloskładnikowy,przym,2
48839,gruboziarnistość,rzecz,1
48840,międzykrystaliczny,przym,2
48841,obrabialny,przym,1
48842,spawalny,przym,2
48843,manganowo,?,2
48844,chromowy,przym,2
48845,chromowo,?,2
48846,molibdenowy,przym,1
48847,żaroodporny,przym,3
48848,kwasoodporny,przym,8
48849,Balcerowicz,rzecz,9
48850,transformacja,rzecz,33
48851,Lepper,rzecz,3
48852,Katon,rzecz,2
48853,katon,rzecz,2
48854,rychły,przym,2
48855,sparodiować,czas,3
48856,Balcyrewicz,?,1
48857,kiepski,przym,3
48858,Octopus,?,5
48859,MediaVox,?,1
48860,stokrotka,rzecz,1
48861,Walentek,?,1
48862,tryplet,rzecz,11
48863,anastygmat,rzecz,1
48864,trójsoczewkowy,przym,1
48865,kliszowy,przym,1
48866,zwojowy,przym,1
48867,małoobrazkowy,przym,2
48868,Emitar,?,1
48869,Euktar,?,1
48870,dwuobiektywowy,przym,1
48871,Lubitiel,?,1
48872,czterosoczewkowy,przym,1
48873,kleić,czas,7
48874,implikować,czas,1
48875,niedrogi,przym,1
48876,Tessar,?,1
48877,Tessara,?,1
48878,Culminar,?,1
48879,Steinheila,?,1
48880,wielosoczewkowy,przym,2
48881,wąskokątny,przym,1
48882,Heliar,?,1
48883,Voigtlandera,?,1
48884,Hartinga,?,1
48885,Ektarów,?,1
48886,kodak,rzecz,1
48887,Goerz,?,1
48888,pięciosoczewkowy,przym,1
48889,Leitza,?,1
48890,Primoplan,?,1
48891,Meyera,?,2
48892,jupiter,rzecz,1
48893,Żochowski,rzecz,5
48894,OSBM,?,1
48895,Brodzic,?,2
48896,mścisławski,?,2
48897,orszański,przym,1
48898,archimandryta,rzecz,2
48899,dermański,?,1
48900,dubieński,przym,1
48901,Mohilnickich,?,1
48902,1665,rzecz,4
48903,monaster,rzecz,6
48904,dermańskiego,?,1
48905,koadiutor,rzecz,2
48906,elektor,rzecz,6
48907,Supraśl,rzecz,2
48908,posadzka,rzecz,1
48909,Liberiusz,rzecz,1
48910,Glindy,?,1
48911,Mundus,?,1
48912,Universus,?,1
48913,Assertionibus,?,1
48914,Philosophicis,?,1
48915,illustratus,?,1
48916,Tarasowicz,?,1
48917,Arntzen,?,2
48918,Aubolt,?,1
48919,Metz,?,4
48920,Flieger,?,1
48921,Freden,?,1
48922,Mentuhotep,?,1
48923,kontynuator,rzecz,2
48924,Punt,?,1
48925,Imi,?,1
48926,Grimal,?,6
48927,PIW,rzecz,7
48928,02917,rzecz,4
48929,neolityczny,przym,1
48930,FOGRA,?,1
48931,85719,rzecz,1
48932,Nílton,?,9
48933,Pinheiro,?,1
48934,Silva,?,2
48935,Londrinie,?,1
48936,Paranaense,?,3
48937,Santos,?,3
48938,Santosu,?,1
48939,Santosem,?,1
48940,Campeonato,?,1
48941,paulista,rzecz,1
48942,Santosie,?,1
48943,Flamengo,?,1
48944,Janeiro,?,10
48945,América,?,6
48946,Lauderdale,?,1
48947,Strikers,?,1
48948,Paragwaj,rzecz,1
48949,zajeła,?,1
48950,miniencyklopedia,rzecz,1
48951,roz,?,1
48952,8189,rzecz,1
48953,fantasmagoria,rzecz,1
48954,Cohla,?,1
48955,Blacktona,?,1
48956,nieanimowany,przym,1
48957,pajacyk,rzecz,1
48958,marionetka,rzecz,15
48959,metamorfoza,rzecz,3
48960,tusz,rzecz,8
48961,odbitka,rzecz,1
48962,negatyw,rzecz,2
48963,Wacker,?,8
48964,Innsbruck,rzecz,15
48965,Fußball,?,1
48966,Jakob,?,2
48967,Hanspeter,?,1
48968,Hosp,?,1
48969,Leitner,?,1
48970,zielono,przys,5
48971,Staatsliga,?,1
48972,WSG,?,1
48973,Swarovski,?,3
48974,Wattens,?,2
48975,SpG,?,1
48976,SSW,?,2
48977,Wackerze,?,1
48978,Wackerem,?,1
48979,przelegiwać,czas,2
48980,Kosakenloch,?,1
48981,lisowczycami,?,1
48982,Malakogamia,?,1
48983,czermień,rzecz,2
48984,mimowolny,przym,2
48985,bursztynka,rzecz,1
48986,slimaki,?,1
48987,kostniak,rzecz,2
48988,osteoma,rzecz,2
48989,miednica,rzecz,5
48990,paliczek,rzecz,1
48991,Gardnera,?,1
48992,Nakiska,?,1
48993,Piccard,?,2
48994,Austrial,?,1
48995,Mayer,?,4
48996,Lars,?,2
48997,Börje,?,1
48998,Eriksson,?,1
48999,wirtuozeria,rzecz,3
49000,andantino,rzecz,3
49001,marziale,?,1
49002,spianato,?,1
49003,Polacca,?,1
49004,vivace,rzecz,4
49005,Samia,?,2
49006,Yusuf,?,2
49007,Mogadiszu,rzecz,3
49008,somalijski,przym,1
49009,Muny,?,1
49010,Gretty,?,1
49011,Taslakian,?,1
49012,odpadać,czas,4
49013,oklaskiwać,czas,1
49014,Etiopia,rzecz,6
49015,Artrogrypoza,?,2
49016,arthrogryposis,?,1
49017,multiplex,?,1
49018,wielostawowa,rzecz,1
49019,przykurcz,rzecz,2
49020,miopatia,rzecz,1
49021,rozlany,przym,3
49022,Sotosa,?,1
49023,Jonagold,?,11
49024,triploid,rzecz,1
49025,Delicious,?,9
49026,Cornella,?,1
49027,odmianowo,przys,1
49028,nasadzić,czas,2
49029,przemarznąć,czas,2
49030,jabłoniowy,przym,1
49031,obwieszać,czas,1
49032,prześwietlać,czas,2
49033,odmładzający,przym,1
49034,łódkowato,?,1
49035,wygiąć,czas,2
49036,stożkowato,przys,1
49037,żebrowany,przym,1
49038,zielonkawożółty,przym,2
49039,zagłębienie,rzecz,9
49040,rozmyć,czas,5
49041,paskowany,przym,3
